name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kyiv,2023-12-23,1.4,-0.6,0.2,-1.9,-4.7,-3.4,-2.2,84,0.8,100,4.17,"rain,snow",0.1,0,35.3,14.4,249.2,988.1,81.1,14.9,,,,,2023-12-23T07:56:51,2023-12-23T15:56:52,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-24,0.9,-0.9,-0.2,-2.6,-5,-4,-3.3,79.5,0.4,100,12.5,"rain,snow",0.3,0.1,45.4,15.8,273.3,998.8,87.1,17.3,,,,,2023-12-24T07:57:15,2023-12-24T15:57:28,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"remote,33345099999"
Kyiv,2023-12-25,7.4,-2.3,3,6.4,-5.5,0.1,1.1,87.4,10,100,8.33,"rain,snow",2.5,1.4,45.7,15.8,235.4,997.5,91,13.7,,,,,2023-12-25T07:57:37,2023-12-25T15:58:07,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
Kyiv,2023-12-26,10,3.7,6.5,7.5,0.8,3.8,2.2,74,1.8,100,8.33,rain,0,0,47.5,18.7,264.8,1004.5,78.4,17.7,,,,,2023-12-26T07:57:55,2023-12-26T15:58:49,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,33345099999"
Kyiv,2023-12-27,9,2.4,5.1,6.6,-1.5,1.6,0.6,72.8,3,100,8.33,rain,0,0,59.4,23.8,279,1011.2,73,20,,,,,2023-12-27T07:58:11,2023-12-27T15:59:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"remote,33345099999"
Kyiv,2023-12-28,4.6,-0.2,1.8,2.8,-3.3,-0.8,-1.9,76.4,0,0,0,,0,0,34.6,14.4,241.4,1020.8,65.5,20,,,,,2023-12-28T07:58:23,2023-12-28T16:00:21,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2023-12-29,7.7,4,5.7,5.8,0.8,3.5,2.8,81.9,0.3,100,8.33,rain,0,0,32,14.4,249.6,1014.2,82.2,20,,,,,2023-12-29T07:58:32,2023-12-29T16:01:12,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"remote,33345099999"
Kyiv,2023-12-30,9.2,3.7,6.4,7.5,0.9,4,2.6,77.4,0.1,100,4.17,rain,0,0,45.7,18,244.8,1011.7,85.8,20,,,,,2023-12-30T07:58:37,2023-12-30T16:02:05,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"remote,33345099999"
Kyiv,2023-12-31,5.8,0.4,3.4,2.6,-0.6,0.8,-0.7,74.7,0,0,0,,0,0,43.2,15.8,272.2,1014.7,53.7,20,,,,,2023-12-31T07:58:40,2023-12-31T16:03:02,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,33345099999"
Kyiv,2024-01-01,4,-0.8,1.8,2.9,-3.4,0.5,0.2,89.2,0.8,100,25,"rain,snow",0.1,0,20.2,7.9,165.5,1011.2,93.6,12.8,,,,,2024-01-01T07:58:39,2024-01-01T16:04:00,0.67,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"remote,33345099999"
